eeschema (2010-05-05 BZR 2356)-stable  >> Creation date: 01/10/11 18:07:10

#Cmp ( order = Value )
| 100          R1        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
